word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,426,42,Aftermath; Bliss; Butterflies and Hurricanes; Citizen Erased; Compliance; Dead Inside; Defector; Dig Down; Drones; Endlessly; Falling Away with You; Feeling Good; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Muscle Museum; New Born; Panic Station; Propaganda; Psycho; Reapers; Resistance; Sing for Absolution; Something Human; Space Dementia; Starlight; Stockholm Syndrome; Supermassive Black Hole; Supremacy; The Dark Side; The Globalist; The Handler; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unintended; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,10.14,True,1
i,i,PRON,407,40,Aftermath; Blackout; Bliss; Citizen Erased; Dead Inside; Defector; Endlessly; Falling Away with You; Feeling Good; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Mercy; Muscle Museum; New Born; Panic Station; Propaganda; Psycho; Reapers; Resistance; Sing for Absolution; Something Human; Space Dementia; Starlight; Stockholm Syndrome; Sunburn; Supermassive Black Hole; Supremacy; The Dark Side; The Globalist; The Handler; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unintended; Unravelling; We Are Fucking Fucked; Won’t Stand Down,10.18,True,2
and,and,CCONJ,296,46,Aftermath; Algorithm; Apocalypse Please; Blackout; Bliss; Butterflies and Hurricanes; Citizen Erased; Compliance; Dead Inside; Defector; Dig Down; Drones; Endlessly; Falling Away with You; Feeling Good; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Mercy; Muscle Museum; New Born; Panic Station; Psycho; Reapers; Resistance; Sing for Absolution; Something Human; Space Dementia; Starlight; Stockholm Syndrome; Sunburn; Supermassive Black Hole; Supremacy; The Dark Side; The Globalist; The Handler; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unintended; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,6.43,True,3
the,the,DET,294,43,Aftermath; Apocalypse Please; Blackout; Bliss; Butterflies and Hurricanes; Citizen Erased; Compliance; Dead Inside; Dig Down; Drones; Endlessly; Falling Away with You; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Mercy; Muscle Museum; New Born; Panic Station; Propaganda; Psycho; Reapers; Resistance; Sing for Absolution; Something Human; Space Dementia; Starlight; Stockholm Syndrome; Sunburn; Supermassive Black Hole; Supremacy; The Dark Side; The Globalist; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unintended; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,6.84,True,4
to,to,PART,190,40,Apocalypse Please; Blackout; Bliss; Butterflies and Hurricanes; Citizen Erased; Compliance; Dead Inside; Defector; Dig Down; Endlessly; Falling Away with You; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Mercy; Muscle Museum; New Born; Panic Station; Psycho; Resistance; Sing for Absolution; Something Human; Space Dementia; Starlight; Stockholm Syndrome; Sunburn; Supremacy; The Dark Side; The Globalist; The Handler; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unintended; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,4.75,True,5
me,i,PRON,162,28,Bliss; Citizen Erased; Dead Inside; Defector; Endlessly; Feeling Good; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Mercy; Muscle Museum; New Born; Propaganda; Psycho; Reapers; Resistance; Space Dementia; Starlight; Supermassive Black Hole; The Dark Side; The Globalist; The Handler; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unravelling; Won’t Stand Down,5.79,True,6
your,your,PRON,150,33,Aftermath; Algorithm; Bliss; Butterflies and Hurricanes; Citizen Erased; Compliance; Dead Inside; Defector; Dig Down; Drones; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Muscle Museum; New Born; Panic Station; Propaganda; Psycho; Reapers; Resistance; Sing for Absolution; Something Human; Space Dementia; Stockholm Syndrome; Sunburn; Supremacy; The Globalist; The Handler; Thoughts of a Dying Atheist; Undisclosed Desires; Unravelling; Uprising; Won’t Stand Down,4.55,True,7
a,a,DET,129,33,Algorithm; Apocalypse Please; Dead Inside; Defector; Dig Down; Endlessly; Falling Away with You; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Muscle Museum; New Born; Propaganda; Psycho; Reapers; Resistance; Sing for Absolution; Something Human; Starlight; Stockholm Syndrome; Sunburn; Supermassive Black Hole; Supremacy; The Globalist; The Handler; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,3.91,True,8
it,it,PRON,128,31,Aftermath; Apocalypse Please; Compliance; Dead Inside; Defector; Dig Down; Endlessly; Falling Away with You; Feeling Good; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Muscle Museum; New Born; Panic Station; Psycho; Reapers; Resistance; Something Human; Space Dementia; Starlight; Supremacy; The Globalist; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Uprising; We Are Fucking Fucked; Won’t Stand Down,4.13,True,9
n't,not,PART,122,33,Aftermath; Blackout; Bliss; Butterflies and Hurricanes; Citizen Erased; Compliance; Dead Inside; Defector; Dig Down; Endlessly; Falling Away with You; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Muscle Museum; New Born; Panic Station; Propaganda; Psycho; Reapers; Resistance; Sing for Absolution; Starlight; Stockholm Syndrome; Sunburn; Supermassive Black Hole; Supremacy; The Handler; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Won’t Stand Down,3.7,True,10
pro,pro,ADJ,99,1,Propaganda,99.0,False,11
ah,ah,INTJ,94,5,I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Panic Station; Psycho; The Globalist; We Are Fucking Fucked,18.8,False,12
we,we,PRON,91,20,Aftermath; Algorithm; Apocalypse Please; Blackout; Compliance; Defector; Dig Down; Falling Away with You; Madness; Map of the Problematique; Mercy; Reapers; Resistance; Space Dementia; Stockholm Syndrome; The Globalist; Thoughts of a Dying Atheist; Unravelling; Uprising; We Are Fucking Fucked,4.55,True,13
s,be,AUX,87,27,Aftermath; Apocalypse Please; Blackout; Citizen Erased; Compliance; Dead Inside; Defector; Dig Down; Endlessly; Feeling Good; Hysteria; Madness; Muscle Museum; New Born; Panic Station; Reapers; Resistance; Sing for Absolution; Something Human; Starlight; Supermassive Black Hole; The Globalist; Thought Contagion; Thoughts of a Dying Atheist; Undisclosed Desires; Uprising; We Are Fucking Fucked,3.22,True,14
yeah,yeah,INTJ,87,18,Aftermath; Blackout; Defector; Dig Down; Feeling Good; Hysteria; Madness; Mercy; Muscle Museum; New Born; Propaganda; Sing for Absolution; Starlight; Stockholm Syndrome; Supremacy; The Handler; Thoughts of a Dying Atheist; Time Is Running Out,4.83,False,15
is,be,AUX,85,27,Aftermath; Apocalypse Please; Bliss; Butterflies and Hurricanes; Compliance; Dead Inside; Defector; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; New Born; Psycho; Reapers; Resistance; Something Human; Space Dementia; Starlight; Stockholm Syndrome; Supremacy; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,3.15,True,16
ooh,ooh,NOUN,85,13,Blackout; Bliss; Compliance; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); New Born; Panic Station; Psycho; Sing for Absolution; Space Dementia; Supermassive Black Hole; Supremacy; Time Is Running Out,6.54,False,17
my,my,PRON,83,26,Aftermath; Bliss; Citizen Erased; Dead Inside; Defector; Drones; Falling Away with You; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Mercy; Muscle Museum; Propaganda; Psycho; Reapers; Sing for Absolution; Something Human; Space Dementia; Starlight; Supermassive Black Hole; The Dark Side; The Handler; Thoughts of a Dying Atheist; Unintended; Won’t Stand Down,3.19,True,18
in,in,ADP,79,30,Algorithm; Bliss; Citizen Erased; Compliance; Dead Inside; Falling Away with You; Feeling Good; Hysteria; Madness; Map of the Problematique; Mercy; Muscle Museum; Panic Station; Propaganda; Psycho; Resistance; Sing for Absolution; Space Dementia; Starlight; Stockholm Syndrome; Supermassive Black Hole; The Dark Side; The Globalist; The Handler; Thoughts of a Dying Atheist; Undisclosed Desires; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,2.63,True,19
m,be,AUX,79,22,Aftermath; Blackout; Citizen Erased; Dead Inside; Defector; Feeling Good; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Mercy; New Born; Panic Station; Propaganda; Psycho; Reapers; Something Human; Supermassive Black Hole; Thoughts of a Dying Atheist; Time Is Running Out; Unintended; Unravelling; Won’t Stand Down,3.59,True,20
ll,will,AUX,78,23,Citizen Erased; Compliance; Dead Inside; Defector; Endlessly; Falling Away with You; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Muscle Museum; Psycho; Resistance; Something Human; Space Dementia; Starlight; Stockholm Syndrome; Sunburn; Thought Contagion; Undisclosed Desires; Unintended; Unravelling; Uprising; We Are Fucking Fucked; Won’t Stand Down,3.39,True,21
will,will,AUX,74,22,Aftermath; Butterflies and Hurricanes; Compliance; Defector; Dig Down; Falling Away with You; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Map of the Problematique; Muscle Museum; Panic Station; Psycho; Resistance; Sing for Absolution; Something Human; Space Dementia; Starlight; Stockholm Syndrome; The Globalist; The Handler; Time Is Running Out; Uprising; Won’t Stand Down,3.36,True,22
be,be,AUX,71,25,Aftermath; Blackout; Bliss; Butterflies and Hurricanes; Citizen Erased; Defector; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Mercy; Psycho; Resistance; Sing for Absolution; Something Human; Starlight; Sunburn; Supremacy; The Dark Side; The Globalist; The Handler; Time Is Running Out; Undisclosed Desires; Unintended; Uprising,2.84,True,23
ma,ma,PROPN,68,2,I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness,34.0,False,24
of,of,ADP,66,22,Aftermath; Apocalypse Please; Citizen Erased; Compliance; Drones; Endlessly; Falling Away with You; Feeling Good; Madness; Resistance; Sing for Absolution; Something Human; Starlight; Supermassive Black Hole; The Globalist; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Unintended; Unravelling; We Are Fucking Fucked; Won’t Stand Down,3.0,True,25
oh,oh,INTJ,61,5,Compliance; Propaganda; Psycho; The Globalist; Thought Contagion,12.2,False,26
ve,have,AUX,59,20,Aftermath; Butterflies and Hurricanes; Citizen Erased; Compliance; Dead Inside; Defector; Dig Down; Falling Away with You; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Mercy; Muscle Museum; New Born; Panic Station; Reapers; Something Human; The Dark Side; Thought Contagion; Time Is Running Out; Undisclosed Desires; Won’t Stand Down,2.95,True,27
this,this,DET,56,17,Aftermath; Algorithm; Apocalypse Please; Blackout; Butterflies and Hurricanes; Feeling Good; Madness; Map of the Problematique; Panic Station; Resistance; Space Dementia; Starlight; Stockholm Syndrome; Thoughts of a Dying Atheist; Time Is Running Out; Unravelling; We Are Fucking Fucked,3.29,True,28
now,now,ADV,55,17,Aftermath; Bliss; Butterflies and Hurricanes; Dead Inside; Drones; Hysteria; Madness; Mercy; Panic Station; Propaganda; Psycho; Reapers; Something Human; The Globalist; The Handler; Time Is Running Out; Won’t Stand Down,3.24,True,29
all,all,PRON,55,24,Aftermath; Bliss; Citizen Erased; Compliance; Defector; Dig Down; Drones; Falling Away with You; Feeling Good; Madness; Mercy; Muscle Museum; Panic Station; Reapers; Something Human; Space Dementia; Starlight; Stockholm Syndrome; The Dark Side; The Globalist; Thoughts of a Dying Atheist; Unintended; Uprising; We Are Fucking Fucked,2.29,True,30
out,out,ADP,55,14,Algorithm; Compliance; Dead Inside; Feeling Good; Hysteria; Madness; Reapers; Resistance; Something Human; The Dark Side; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Won’t Stand Down,3.93,True,31
no,no,DET,53,17,Aftermath; Citizen Erased; Compliance; Dead Inside; Madness; Map of the Problematique; Panic Station; Psycho; Reapers; Sing for Absolution; Stockholm Syndrome; Sunburn; Supermassive Black Hole; The Globalist; The Handler; Unravelling; Won’t Stand Down,3.12,True,32
from,from,ADP,53,18,Aftermath; Bliss; Compliance; Dead Inside; Defector; Drones; Map of the Problematique; Mercy; New Born; Resistance; Sing for Absolution; Starlight; Sunburn; The Dark Side; The Globalist; The Handler; Thought Contagion; Undisclosed Desires,2.94,True,33
just,just,ADV,49,18,Compliance; Dead Inside; Falling Away with You; Madness; Mercy; Muscle Museum; New Born; Panic Station; Propaganda; Psycho; Reapers; Resistance; Something Human; Starlight; The Globalist; Undisclosed Desires; We Are Fucking Fucked; Won’t Stand Down,2.72,True,34
wo,will,AUX,48,15,Bliss; Compliance; Dig Down; Endlessly; Falling Away with You; Panic Station; Psycho; Resistance; Sing for Absolution; Stockholm Syndrome; The Handler; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Won’t Stand Down,3.2,False,35
our,our,PRON,46,15,Compliance; Drones; Falling Away with You; Madness; New Born; Resistance; Sing for Absolution; Something Human; Starlight; Sunburn; Supremacy; Thoughts of a Dying Atheist; Time Is Running Out; Unravelling; Uprising,3.07,True,36
ca,can,AUX,46,15,Aftermath; Bliss; Dead Inside; Defector; Falling Away with You; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; New Born; Propaganda; Resistance; Sing for Absolution; Sunburn; Supermassive Black Hole; Time Is Running Out,3.07,True,37
us,we,PRON,45,10,Algorithm; Apocalypse Please; Citizen Erased; Compliance; Dig Down; Madness; Resistance; Space Dementia; Uprising; We Are Fucking Fucked,4.5,True,38
are,be,AUX,45,17,Aftermath; Algorithm; Butterflies and Hurricanes; Dig Down; Drones; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Map of the Problematique; New Born; Psycho; Resistance; Sing for Absolution; The Handler; Thoughts of a Dying Atheist; Undisclosed Desires; We Are Fucking Fucked; Won’t Stand Down,2.65,True,39
re,be,AUX,44,21,Aftermath; Blackout; Bliss; Compliance; Dead Inside; Defector; Dig Down; Falling Away with You; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Mercy; New Born; Propaganda; Psycho; Reapers; Supermassive Black Hole; Thought Contagion; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; We Are Fucking Fucked,2.1,True,40
do,do,AUX,44,17,Blackout; Butterflies and Hurricanes; Compliance; Dead Inside; Feeling Good; Muscle Museum; Panic Station; Propaganda; Psycho; Reapers; Starlight; Supermassive Black Hole; Supremacy; The Handler; Thought Contagion; Thoughts of a Dying Atheist; Undisclosed Desires,2.59,True,41
for,for,ADP,42,20,Aftermath; Apocalypse Please; Bliss; Citizen Erased; Compliance; Defector; Dig Down; Feeling Good; Muscle Museum; New Born; Panic Station; Resistance; Sing for Absolution; Space Dementia; Supermassive Black Hole; The Dark Side; The Globalist; Thought Contagion; Unravelling; Won’t Stand Down,2.1,True,42
let,let,VERB,41,19,Butterflies and Hurricanes; Compliance; Dig Down; Endlessly; Madness; Map of the Problematique; Resistance; Something Human; Starlight; Stockholm Syndrome; Sunburn; Supermassive Black Hole; The Dark Side; The Handler; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Uprising; Won’t Stand Down,2.16,False,43
down,down,ADP,40,11,Butterflies and Hurricanes; Dig Down; Endlessly; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Mercy; New Born; Resistance; Thought Contagion; Uprising; Won’t Stand Down,3.64,True,44
have,have,VERB,39,18,Aftermath; Butterflies and Hurricanes; Compliance; Dead Inside; Dig Down; Falling Away with You; Madness; Mercy; Muscle Museum; Propaganda; Resistance; Something Human; Supremacy; The Dark Side; The Globalist; The Handler; Uprising; Won’t Stand Down,2.17,True,45
feel,feel,VERB,37,13,Compliance; Dead Inside; Drones; Falling Away with You; Feeling Good; Hysteria; Map of the Problematique; Something Human; Space Dementia; Starlight; Sunburn; The Dark Side; Undisclosed Desires,2.85,False,46
know,know,VERB,37,18,Aftermath; Compliance; Endlessly; Falling Away with You; Feeling Good; Madness; Panic Station; Propaganda; Something Human; Space Dementia; Starlight; Supermassive Black Hole; The Globalist; Thoughts of a Dying Atheist; Time Is Running Out; Undisclosed Desires; Uprising; Won’t Stand Down,2.06,False,47
but,but,CCONJ,36,19,Aftermath; Dead Inside; Defector; Endlessly; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Mercy; Muscle Museum; Reapers; Resistance; Something Human; Supermassive Black Hole; The Globalist; The Handler; Time Is Running Out; Undisclosed Desires; Unintended; We Are Fucking Fucked; Won’t Stand Down,1.89,True,48
can,can,AUX,36,16,Compliance; Dead Inside; Dig Down; Drones; Madness; Mercy; Muscle Museum; Reapers; Resistance; Something Human; The Globalist; Thoughts of a Dying Atheist; Undisclosed Desires; Unintended; Unravelling; We Are Fucking Fucked,2.25,True,49
love,love,NOUN,35,17,Blackout; Bliss; Compliance; Dig Down; Endlessly; Falling Away with You; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; New Born; Psycho; Resistance; Something Human; Space Dementia; Stockholm Syndrome; The Globalist; Unintended; Unravelling,2.06,False,50
want,want,VERB,34,10,Bliss; Citizen Erased; Hysteria; Map of the Problematique; Muscle Museum; Panic Station; Space Dementia; Thought Contagion; Time Is Running Out; Undisclosed Desires,3.4,False,51
never,never,ADV,34,15,Aftermath; Dig Down; Endlessly; Falling Away with You; Muscle Museum; Resistance; Sing for Absolution; Starlight; The Globalist; The Handler; Thought Contagion; Time Is Running Out; Unintended; Uprising; Won’t Stand Down,2.27,True,52
ga,ga,PROPN,33,1,Propaganda,33.0,False,53
world,world,NOUN,33,16,Aftermath; Apocalypse Please; Butterflies and Hurricanes; Compliance; Falling Away with You; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Mercy; Muscle Museum; New Born; Propaganda; Reapers; Resistance; Space Dementia; Sunburn; We Are Fucking Fucked,2.06,False,54
away,away,ADV,32,8,Citizen Erased; Compliance; Falling Away with You; Map of the Problematique; New Born; Resistance; Starlight; Sunburn,4.0,False,55
with,with,ADP,31,15,Algorithm; Citizen Erased; Dead Inside; Defector; Dig Down; Drones; Falling Away with You; Panic Station; Propaganda; Reapers; Something Human; Space Dementia; The Dark Side; The Globalist; Unravelling,2.07,True,56
need,need,VERB,30,8,Aftermath; Citizen Erased; Compliance; Dead Inside; Madness; Something Human; Space Dementia; We Are Fucking Fucked,3.75,False,57
life,life,NOUN,29,13,Blackout; Compliance; Dead Inside; Falling Away with You; Feeling Good; Map of the Problematique; Resistance; Something Human; Starlight; The Dark Side; Time Is Running Out; Unintended; We Are Fucking Fucked,2.23,False,58
free,free,ADJ,29,8,Aftermath; Citizen Erased; Dead Inside; Defector; Feeling Good; Map of the Problematique; The Dark Side; The Globalist,3.62,False,59
on,on,ADP,29,14,Apocalypse Please; Dead Inside; Dig Down; Feeling Good; Madness; Mercy; Muscle Museum; Propaganda; Psycho; Reapers; Something Human; Space Dementia; Supremacy; Won’t Stand Down,2.07,True,60
break,break,VERB,29,9,Citizen Erased; New Born; Panic Station; Psycho; Something Human; Sunburn; The Dark Side; Thought Contagion; Time Is Running Out,3.22,False,61
hey,hey,PROPN,29,4,Panic Station; Sing for Absolution; Uprising; We Are Fucking Fucked,7.25,False,62
time,time,NOUN,28,11,Apocalypse Please; Butterflies and Hurricanes; Compliance; Muscle Museum; Resistance; Stockholm Syndrome; Supremacy; The Globalist; Thought Contagion; Time Is Running Out; Uprising,2.55,False,63
that,that,PRON,28,14,Aftermath; Defector; Madness; Map of the Problematique; Mercy; Muscle Museum; Panic Station; Propaganda; Sing for Absolution; Starlight; Time Is Running Out; Undisclosed Desires; Uprising; Won’t Stand Down,2.0,True,64
give,give,VERB,27,9,Bliss; Compliance; Dead Inside; Endlessly; Hysteria; Muscle Museum; Something Human; Thought Contagion; Time Is Running Out,3.0,True,65
see,see,VERB,25,13,Blackout; Citizen Erased; Dead Inside; Dig Down; Endlessly; Map of the Problematique; Muscle Museum; Resistance; Supremacy; The Dark Side; Thoughts of a Dying Atheist; Uprising; Won’t Stand Down,1.92,True,66
come,come,VERB,24,13,Apocalypse Please; Butterflies and Hurricanes; Compliance; Madness; New Born; Psycho; Reapers; Resistance; Something Human; Sunburn; Supremacy; Time Is Running Out; Uprising,1.85,False,67
they,they,PRON,24,9,Bliss; Citizen Erased; Dig Down; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Map of the Problematique; Mercy; Resistance; Thought Contagion; Uprising,2.67,True,68
up,up,ADP,23,15,Blackout; Citizen Erased; Compliance; Dead Inside; Endlessly; New Born; Panic Station; Reapers; Something Human; Supremacy; The Globalist; Thought Contagion; Time Is Running Out; Uprising; We Are Fucking Fucked,1.53,True,69
when,when,SCONJ,23,10,Dig Down; Falling Away with You; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; Muscle Museum; New Born; Thought Contagion; We Are Fucking Fucked,2.3,True,70
too,too,ADV,23,8,Blackout; Compliance; Defector; Madness; Muscle Museum; New Born; Thought Contagion; Won’t Stand Down,2.88,True,71
control,control,VERB,21,11,Compliance; Dead Inside; Defector; Hysteria; Madness; Panic Station; Psycho; Reapers; Resistance; The Handler; Uprising,1.91,False,72
mad,mad,ADJ,21,1,Madness,21.0,False,73
how,how,SCONJ,21,8,Bliss; Feeling Good; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); New Born; Supermassive Black Hole; Time Is Running Out; Undisclosed Desires; Won’t Stand Down,2.62,True,74
am,be,AUX,21,10,Aftermath; Dead Inside; Muscle Museum; Propaganda; Psycho; Reapers; Something Human; Supremacy; The Dark Side; The Handler,2.1,True,75
make,make,VERB,21,7,I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Muscle Museum; Propaganda; Psycho; Space Dementia; Sunburn; Undisclosed Desires,3.0,True,76
soul,soul,NOUN,21,9,Bliss; Dead Inside; Falling Away with You; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Mercy; Panic Station; Propaganda; Supermassive Black Hole,2.33,False,77
could,could,AUX,20,8,Blackout; Muscle Museum; Psycho; Resistance; Stockholm Syndrome; The Dark Side; Unintended; Uprising,2.5,True,78
been,be,AUX,20,8,Aftermath; Butterflies and Hurricanes; Dig Down; Resistance; The Dark Side; The Globalist; The Handler; Thought Contagion,2.5,True,79
show,show,VERB,20,7,Endlessly; Mercy; New Born; Panic Station; Psycho; Sunburn; Undisclosed Desires,2.86,True,80
find,find,VERB,20,5,Dig Down; Falling Away with You; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Resistance; We Are Fucking Fucked,4.0,False,81
by,by,ADP,19,8,Defector; Drones; Feeling Good; Mercy; Muscle Museum; Reapers; The Globalist; Thought Contagion,2.38,True,82
fucking,fucking,ADJ,18,2,Psycho; We Are Fucking Fucked,9.0,False,83
compliance,compliance,NOUN,18,1,Compliance,18.0,False,84
what,what,PRON,18,10,Citizen Erased; Compliance; Defector; Feeling Good; Madness; Muscle Museum; New Born; Panic Station; Thought Contagion; We Are Fucking Fucked,1.8,True,85
human,human,ADJ,18,3,Psycho; Something Human; The Globalist,6.0,False,86
like,like,INTJ,18,10,Algorithm; Dead Inside; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Madness; Map of the Problematique; New Born; Propaganda; Psycho; Sunburn; The Globalist,1.8,False,87
end,end,NOUN,18,7,Apocalypse Please; Dig Down; Madness; Resistance; Starlight; Thoughts of a Dying Atheist; Uprising,2.57,False,88
last,last,ADJ,17,6,Blackout; Butterflies and Hurricanes; Hysteria; New Born; Resistance; Stockholm Syndrome,2.83,True,89
moment,moment,NOUN,17,4,Aftermath; Citizen Erased; Endlessly; Thoughts of a Dying Atheist,4.25,False,90
heart,heart,NOUN,17,10,Aftermath; Compliance; Hysteria; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Panic Station; Reapers; Space Dementia; The Handler; Undisclosed Desires; Uprising,1.7,False,91
has,have,AUX,17,9,Aftermath; Butterflies and Hurricanes; Dig Down; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Resistance; Something Human; Starlight; Supremacy; The Handler,1.89,True,92
got,get,VERB,17,5,Butterflies and Hurricanes; Dead Inside; Defector; Propaganda; Reapers,3.4,False,93
woah,woah,ADJ,16,4,Blackout; Panic Station; Thought Contagion; Thoughts of a Dying Atheist,4.0,False,94
un,un,PROPN,16,1,Unravelling,16.0,False,95
stand,stand,VERB,16,3,Panic Station; Stockholm Syndrome; Won’t Stand Down,5.33,False,96
into,into,ADP,16,5,Compliance; Dead Inside; Defector; Psycho; Supermassive Black Hole,3.2,True,97
supermassive,supermassive,ADJ,16,1,Supermassive Black Hole,16.0,False,98
mind,mind,NOUN,15,8,Bliss; Citizen Erased; Defector; Madness; Psycho; The Globalist; The Handler; Uprising,1.88,False,99
there,there,PRON,15,8,Dead Inside; Endlessly; Panic Station; Reapers; Sing for Absolution; The Globalist; Thoughts of a Dying Atheist; Unintended,1.88,True,100
thought,think,VERB,15,6,Defector; Propaganda; Resistance; Supermassive Black Hole; Thought Contagion; Won’t Stand Down,2.5,False,101
not,not,PART,15,7,Dig Down; Hysteria; Madness; Panic Station; Starlight; Undisclosed Desires; Uprising,2.14,True,102
black,black,ADJ,15,4,Starlight; Supermassive Black Hole; Thought Contagion; We Are Fucking Fucked,3.75,False,103
at,at,ADP,15,7,Citizen Erased; Drones; Madness; Panic Station; Unravelling; We Are Fucking Fucked; Won’t Stand Down,2.14,True,104
die,die,VERB,15,9,Dead Inside; Sing for Absolution; Space Dementia; Starlight; Stockholm Syndrome; Thoughts of a Dying Atheist; Unravelling; Uprising; Won’t Stand Down,1.67,False,105
everything,everything,PRON,15,6,Bliss; Butterflies and Hurricanes; Dead Inside; Endlessly; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); Map of the Problematique,2.5,True,106
eyes,eye,NOUN,15,8,Dead Inside; Defector; Map of the Problematique; Panic Station; Space Dementia; Stockholm Syndrome; Unravelling; Won’t Stand Down,1.88,False,107
hold,hold,VERB,15,6,Citizen Erased; Dead Inside; Falling Away with You; Resistance; Starlight; Stockholm Syndrome,2.5,False,108
must,must,AUX,15,3,Dig Down; Resistance; The Handler,5.0,True,109
inside,inside,ADV,15,8,Dead Inside; Drones; Hysteria; Mercy; New Born; Resistance; Sing for Absolution; Unravelling,1.88,False,110
dig,dig,NOUN,14,1,Dig Down,14.0,False,111
na,to,PART,14,3,Psycho; We Are Fucking Fucked; Won’t Stand Down,4.67,False,112
gon,go,VERB,14,3,Psycho; We Are Fucking Fucked; Won’t Stand Down,4.67,False,113
alone,alone,ADV,14,6,Aftermath; Compliance; I Belong to You (+Mon Coeur S’Ouvre a Ta Voix); The Globalist; The Handler; Won’t Stand Down,2.33,True,114
war,war,NOUN,14,7,Aftermath; Algorithm; Psycho; Reapers; Thought Contagion; We Are Fucking Fucked; Won’t Stand Down,2.0,False,115
